id|creationDate|locationIP|browserUsed|content|length
618475290625|2011-08-17T14:26:59.961+0000|46.16.217.105|Chrome|yes|3
618475290626|2011-08-17T11:10:21.570+0000|46.16.217.105|Chrome|thanks|6
1030792151045|2012-07-20T05:22:51.283+0000|46.31.114.181|Chrome|LOL|3
1030792151046|2012-07-20T16:55:45.373+0000|46.31.114.181|Chrome|I see|5
1030792151047|2012-07-20T04:34:17.500+0000|41.138.46.206|Firefox|fine|4
1030792151048|2012-07-20T17:35:11.096+0000|46.16.217.105|Chrome|right|5
1030792151049|2012-07-20T23:08:15.828+0000|41.138.46.206|Firefox|About George Frideric Handel, ful with hisAbout Erwin Rommel, mandy. As onAbout|79
1030792151050|2012-07-20T06:31:37.850+0000|41.138.46.206|Firefox|good|4
1030792151051|2012-07-21T03:07:22.319+0000|46.16.217.105|Chrome|no|2
1030792151052|2012-07-21T01:39:21.227+0000|41.138.46.206|Firefox|About John Howard, died in combaAbout Isabella I of Castile, r right to thAbo|77
1030792151053|2012-07-21T16:46:08.628+0000|46.16.217.105|Chrome|cool|4
1030792151054|2012-07-21T04:06:57.356+0000|41.138.46.206|Firefox|About John Howard, uke of NorfoAbout Saint George,  Roman soldiAbout Isabella I of Castile|90
1030792151055|2012-07-21T13:15:31.146+0000|46.31.114.181|Chrome|good|4
1030792151056|2012-07-20T04:02:05.256+0000|41.138.46.206|Firefox|thx|3
1030792151057|2012-07-20T04:51:23.927+0000|46.31.114.181|Chrome|About Rupert Murdoch, ausing bitter iAbout Jane Austen, s Austen, Jane'About Kurt Vonn|86
1030792151058|2012-07-21T03:41:51.334+0000|212.39.114.248|Chrome|good|4
1030792151059|2012-07-20T07:06:59.931+0000|46.31.114.181|Chrome|duh|3
1030792151060|2012-07-21T07:59:14.322+0000|46.31.114.181|Chrome|About John Howard, attle of Bosworth About Jane Austen, personal and familAbout Eddie Mur|89
1030792151061|2012-07-20T22:43:01.281+0000|46.16.217.105|Chrome|fine|4
1030792151062|2012-07-20T04:50:50.052+0000|46.16.217.105|Chrome|About Rupert Murdoch, Rupert Murdoch, AC, KSG (bornAbout Yasser Arafat, hen he accepted UN Security CAbout Queen V|114
1030792151063|2012-07-20T06:26:26.311+0000|46.16.217.105|Chrome|About Rupert Murdoch, he bought The TAbout Jimmy Carter, reated: the DepAbout Ernest Hemi|89
412316860441|2011-01-05T09:50:24.448+0000|46.16.217.105|Chrome|no|2
412316860442|2011-01-05T05:23:16.226+0000|46.16.217.105|Chrome|great|5
412316860443|2011-01-05T05:31:02.006+0000|41.138.46.206|Firefox|About Freddie Mercury, aced at number 58 in the BBC's pAbout How to Save a Life,  The Fray. Released on SeptemberAbout To Be with You, ard rock band Mr. Big.|157
412316860444|2011-01-05T06:45:02.057+0000|46.16.217.105|Chrome|About Pope Benedict XVI, hich he serveAbout Freddie Mercury,  for his flamAbout How to|86
412316860445|2011-01-05T05:25:18.979+0000|46.16.217.105|Chrome|cool|4
412316860446|2011-01-05T08:44:00.973+0000|46.16.217.105|Chrome|roflol|6
412316860447|2011-01-05T14:20:30.418+0000|41.138.46.206|Firefox|cool|4
206158430587|2010-08-10T21:51:48.327+0000|204.79.199.255|Internet Explorer|About Rogier Wassen, erlands, again with Jeff Coetzee. IAbout Sammy Davis, Jr.,  and in countless articles. After rAbout Traveling Wilburys Vol. 1, ilburys and was record|170
206158430588|2010-08-11T00:06:39.382+0000|204.79.199.255|Internet Explorer|About Josip Broz Tito, the policy of nonalignmentAbout Michel Foucault, nces and the prison systemAbout Sammy Davis, Jr., vis|125
206158430589|2010-08-11T00:07:13.252+0000|204.79.199.255|Internet Explorer|no|2
206158430590|2010-08-11T03:32:08.233+0000|204.79.199.255|Internet Explorer|LOL|3
206158430591|2010-08-11T05:58:07.303+0000|204.79.199.255|Internet Explorer|ok|2
206158430592|2010-08-10T22:22:09.477+0000|204.79.199.255|Internet Explorer|thanks|6
206158430593|2010-08-10T18:24:29.773+0000|204.79.199.255|Internet Explorer|About Josip Broz Tito, the Non-AligAbout Francis of Assisi,  July 16, 12About Rog|81
206158430595|2010-08-31T04:18:00.022+0000|204.79.199.255|Internet Explorer|yes|3
206158430596|2010-08-31T03:26:19.991+0000|204.79.199.255|Internet Explorer|About John Dryden,  to be known iAbout Fred Astaire,  (born FrederiAbout Katha|78
206158430597|2010-08-31T07:14:10.218+0000|204.79.199.255|Internet Explorer|About Che Guevara, Guevara(1928-0About Haile Selassie I, ions in 1936, About Herb|81
206158430598|2010-08-31T03:30:47.660+0000|204.79.199.255|Internet Explorer|LOL|3
206158430599|2010-08-31T12:08:43.062+0000|204.79.199.255|Internet Explorer|good|4
206158430600|2010-08-31T09:10:58.092+0000|204.79.199.255|Internet Explorer|yes|3
206158430601|2010-09-01T01:14:13.592+0000|204.79.199.255|Internet Explorer|maybe|5
206158430602|2010-09-01T02:15:09.423+0000|204.79.199.255|Internet Explorer|About Mark Twain, 35 – April 21, About Katharine Hepburn, rican Film InstAbout Empir|84
206158430603|2010-09-01T04:58:10.753+0000|204.79.199.255|Internet Explorer|About Che Guevara, s for class sAbout Haile Selassie I, ty that traceAbout Arantxa Sánche|89
206158430604|2010-09-01T06:34:52.925+0000|204.79.199.255|Internet Explorer|About Che Guevara, convicted as warAbout Juan Carlos I of Spain, ay 1962. The couAbout Arantxa Sánchez Vicario, u 'Arantxa|122
