"ladybug表名","表类型","行数"
"ResearchOutput","NODE","398063"
"Label","NODE","8"
"User","NODE","100000"
"Group","NODE","5413"
"EventOnlineDetail","NODE","90907"
"Teacher","NODE","398063"
"Post","NODE","52"
"TeacherEducation","NODE","398063"
"EventTeacherComplaint","NODE","25018"
"EventCardConsume","NODE","25018"
"AccessDevice","NODE","90907"
"EventTeacherDiscipline","NODE","25018"
"EventAuthLog","NODE","25018"
"NASDevice","NODE","90907"
"TerminalDevice","NODE","90907"
"Area","NODE","90907"
"NetworkAccessPoint","NODE","90907"
"IPAddress","NODE","100000"
"Gateway","NODE","90907"
"EventOnlineSession","NODE","90907"
"Student","NODE","400187"
"Service","NODE","90907"
"Operator","NODE","90907"
"EventAuthLog_performedBy_Student","REL","400187"
"User_hasPosition_Post","REL","100000"
"ResearchOutput_authoredBy_Teacher","REL","398063"
"User_belongsToDepartment_Group","REL","972145"
"SessionGateway","REL","90907"
"EventTeacherComplaint_filedBy_Student","REL","400187"
"TeacherEducation_belongsTo_Teacher","REL","398063"
"Post_belongsToOrg_Group","REL","1356976"
"EventTeacherDiscipline_imposedOn_Teacher","REL","398063"
"EventCardConsume_performedBy_Student","REL","400187"
"SessionNAS","REL","90907"
"SessionAccessDevice","REL","90907"
"UserIPAddress","REL","100000"
"EventTeacherComplaint_complainedAgainst_Teacher","REL","398063"
"SessionArea","REL","90907"
"SessionTerminal","REL","90907"
"SessionOperator","REL","90907"
"User_belongsToRegion_Label","REL","100000"
"Group_hasParent_Group","REL","0"
"SessionService","REL","90907"
"SessionAP","REL","90907"
"SessionUser","REL","100000"
"NODE_TOTAL","SUMMARY","2808991"
"REL_TOTAL","SUMMARY","6249190"
